Sr. No.,Bank Code,Bank Name,MICR,IFSC,IIN,ACH CR,ACH DR,APBS,DSA,Bank Type
1,AACX,AKHAND ANAND CO.OP BANK LTD,395437002,HDFC0CAACOB,607227,Yes,Yes,Yes,HDFC BANK LTD,Indirect
2,ABBL,AB BANK LIMITED,400240262,HDFC0CABBLM,990312,Yes,,Yes,HDFC BANK LTD,Indirect
3,ABCX,THE AURANGABAD DISTRICT CENTRAL COOP BANK LIMITED,431579002,YESB0AURDCC,508752,Yes,Yes,Yes,YES BANK,Indirect
4,ABDX,DR. AMBEDKAR NAGRIK SAHAKARI BANK MYDT GWALIOR,474526002,YESB0ANBL01,NA,Yes,Yes,Yes,IDBI BANK,Indirect
5,ABEX,THE ANDHRA BANK EMPLOYEES CO OPERATIVE BANK LTD,500438001,NA,NA,Yes,Yes,Yes,UNION BANK OF INDIA,Indirect
6,ABHY,ABHYUDAYA CO-OPERATIVE BANK,400065001,ABHY0065001,607261,Yes,Yes,Yes,ABHYUDAYA CO-OPERATIVE BANK,Direct
7,ABSB,THE ABHINAV SAHAKARI BANK LIMITED,400345000,SVCB0007002,607293,Yes,Yes,Yes,SVC CO OP BANK LTD,Indirect
8,ABUX,ABHINANDAN URBAN COOP BANK AMRAVATI,444885101,HDFC0CMAN01,608061,Yes,Yes,Yes,IDBI BANK,Indirect
9,ACAX,THE ASSAM COOPERATIVE APEX BANK LTD,781117000,HDFC0CACABL,508729,Yes,Yes,Yes,HDFC BANK LTD,Indirect
10,ACBX,ADARSH CO-OPERATIVE BANK LTD,395575002,HDFC0CADARS,508612,Yes,Yes,Yes,HDFC BANK LTD,Indirect
11,ACCX,ACE COOPERATIVE BANK LTD,400876002,IBKL0100ACB,607186,Yes,Yes,Yes,IDBI BANK,Indirect
12,ACKX,ANNASAHEB CHOUGULE URBAN CO-OP BANK LTD.,416403002,HDFC0CDACUB,607604,Yes,Yes,Yes,HDFC BANK LTD,Indirect
13,ACOX,AMARNATH COOP BANK LTD,380809001,HDFC0CAMARN,990142,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
14,ACUB,THE ARYAPURAM COOPERATIVE URBAN BANK LTD,533820000,HDFC0CACUB9,607364,Yes,Yes,Yes,HDFC BANK LTD,Indirect
